timestamp,operation,url,target,text,u_id
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=partition,http://stackoverflow.com/questions/561836/oracle-partition-by-keyword?s=1|3.0082,"         Q: Oracle Ã¢â‚¬Å“Partition ByÃ¢â‚¬Âù Keyword 
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=partition,[object HTMLInputElement],"
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=partition,[object HTMLInputElement],"
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=partition+merge+sor,[object HTMLInputElement],"
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=partition+merge+sor,[object HTMLInputElement],"
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=partition+merge+sort,http://stackoverflow.com/questions/26757142/spark-merge-sorted-partitions?s=1|2.1318,"         Q: Spark: Merge sorted partitions 
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=partition+merge+sort,http://stackoverflow.com/questions/9543044/merge-sort-tree-like-structure?s=4|0.7763,"         Q: Merge sort tree like structure 
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/search?q=merge%20sort,http://stackoverflow.com/questions/2571049/how-to-sort-in-place-using-the-merge-sort-algorithm?s=2|4.1256,"         Q: How to sort in-place using the merge sort algorithm? 
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/questions/10667884/3-partition-mergesort,http://stackoverflow.com/questions/10667884/3-partition-mergesort#,"
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/questions/10667884/3-partition-mergesort,http://mathbits.com/MathBits/CompSci/Arrays/Merge.htm,"http://mathbits.com/MathBits/CompSci/Arrays/Merge.htm
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/questions/10638549/3-way-mergesort,[object HTMLPreElement],"
",A0042
1.44495E+12,target_clicked,http://stackoverflow.com/questions/10638549/3-way-mergesort,[object HTMLPreElement],"
",A0042
